===BEGIN_METADATA===
Test Name: 2026-05-19_151537_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: 
Test Type: Demo
Stalk Type: PVC-Hi
Probe Height (m): 0.785
Speed: 25 ft/min
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor Serial#(s):     
ICB-Sensor A's Serial#: ,Length (mm): ,Spacing (mm): ,Saturation Load (N): ,Microstrain at Saturation: 
ICB-Sensor B's Serial#: ,Length (mm): ,Spacing (mm): ,Saturation Load (N): ,Microstrain at Saturation: 
ICB-Sensor C's Serial#: ,Length (mm): ,Spacing (mm): ,Saturation Load (N): ,Microstrain at Saturation: 
ICB-Sensor D's Serial#: ,Length (mm): ,Spacing (mm): ,Saturation Load (N): ,Microstrain at Saturation: 
ICB-Sensor E's Serial#: ,Length (mm): ,Spacing (mm): ,Saturation Load (N): ,Microstrain at Saturation: 
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano_01,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
Packet Schema: Extended NavX2 payload v1 (sensor block + NavX2 telemetry)
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 0.0,kA2: 1.0,dA2: 1.0,cA2: 0.0
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 0.0,kB2: 1.0,dB2: 1.0,cB2: 0.0
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 0.0,kC2: 1.0,dC2: 1.0,cC2: 0.0
ICB-Sensor D's Latest Calibration: N/A,kD1: 1.0,dD1: 1.0,cD1: 0.0,kD2: 1.0,dD2: 1.0,cD2: 0.0
ICB-Sensor E's Latest Calibration: N/A,kE1: 1.0,dE1: 1.0,cE1: 0.0,kE2: 1.0,dE2: 1.0,cE2: 0.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,210373,93349,-1.03,0.8,-0.58,180.0,2.27,0.0,0.0,0.004,1.999755859375,-0.01416015625,0.010009765625,0.0179443359375,2.077880859375,5.4972381591796875,0.12689208984375,1540,4076,6,135,15:15:40.928874
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,230379,93367,-1.03,0.8,-0.58,180.0,2.27,0.0,0.0,0.004,1.999755859375,-0.01416015625,0.010009765625,0.0179443359375,2.077880859375,5.4972381591796875,0.1269073486328125,1540,4076,6,135,15:15:40.928981
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,250390,93385,-1.03,0.8,-0.58,180.0,2.27,0.0,0.0,0.0,1.999755859375,-0.01416015625,0.010009765625,0.0179443359375,2.077880859375,5.4972381591796875,0.1269073486328125,1540,4076,6,135,15:15:40.929021
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,270399,93403,-1.03,0.8,-0.58,180.0,2.27,0.0,0.0,0.003,1.999755859375,-0.01416015625,0.010009765625,0.0179443359375,2.077880859375,5.4972381591796875,0.1269073486328125,1540,4076,6,135,15:15:40.929057
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,3,1,1,290410,93440,-1.03,0.8,-0.58,180.0,2.27,0.0,0.0,0.0,1.999755859375,-0.01416015625,0.010009765625,0.0179443359375,2.077880859375,5.4972381591796875,0.126922607421875,1540,4076,6,135,15:15:40.929091
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,3,1,1,310420,93458,-1.03,0.8,-0.58,180.0,2.27,0.0,0.0,0.005,1.999755859375,-0.01416015625,0.010009765625,0.017822265625,2.077880859375,5.4972381591796875,0.126922607421875,1540,4076,6,135,15:15:40.929132
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,3,1,1,330429,93476,-1.03,0.8,-0.58,180.0,2.27,0.0,0.0,0.0,1.999755859375,-0.01416015625,0.010009765625,0.017822265625,2.077880859375,5.4972381591796875,0.1269378662109375,1540,4076,6,135,15:15:40.929170
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,350433,93494,-1.03,0.8,-0.58,180.0,2.27,0.0,0.0,0.003,1.999755859375,-0.01416015625,0.010009765625,0.017822265625,2.077880859375,5.4972381591796875,0.1269683837890625,1540,4076,6,135,15:15:40.929206
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,370442,93512,-1.03,0.8,-0.58,180.0,2.27,-0.003,0.0,0.0,1.999755859375,-0.01416015625,0.010009765625,0.017822265625,2.077880859375,5.4972381591796875,0.126983642578125,1540,4076,6,135,15:15:40.929242
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,390452,93531,-1.03,0.8,-0.58,180.0,2.27,0.0,0.0,0.004,1.999755859375,-0.01416015625,0.010009765625,0.017822265625,2.077880859375,5.4972381591796875,0.1269989013671875,1540,4076,6,135,15:15:40.998500
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,410455,93549,-1.03,0.8,-0.58,180.0,2.27,0.0,0.0,0.003,1.999755859375,-0.01416015625,0.010009765625,0.017822265625,2.077880859375,5.4972381591796875,0.1269989013671875,1540,4076,6,135,15:15:40.998638
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,430462,93567,-1.03,0.8,-0.58,180.0,2.27,0.0,0.0,0.0,1.999755859375,-0.01416015625,0.010009765625,0.017822265625,2.077880859375,5.4972381591796875,0.12701416015625,1540,4076,6,135,15:15:40.998697
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,450473,93585,-1.03,0.81,-0.58,180.0,2.27,0.0,0.0,0.0,1.999755859375,-0.01416015625,0.010009765625,0.017822265625,2.077880859375,5.4972381591796875,0.1270294189453125,1540,4076,6,135,15:15:40.998735
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,470479,93603,-1.02,0.81,-0.58,180.0,2.28,-0.004,0.0,0.004,1.999755859375,-0.0142822265625,0.0101318359375,0.017822265625,2.077880859375,5.4972381591796875,0.1270294189453125,1540,4076,6,135,15:15:40.998773
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,3,1,1,490486,93640,-1.01,0.81,-0.59,180.0,2.29,0.0,0.0,0.007,1.999755859375,-0.0142822265625,0.0101318359375,0.017578125,2.0778961181640625,5.4972381591796875,0.1270599365234375,1540,4076,6,135,15:15:41.095372
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,3,1,1,510497,93658,-1.01,0.81,-0.59,180.0,2.29,0.0,0.0,0.0,1.999755859375,-0.0142822265625,0.0101318359375,0.017578125,2.077880859375,5.4972381591796875,0.1270751953125,1540,4076,6,135,15:15:41.095465
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,3,1,1,530505,93676,-1.01,0.81,-0.59,180.0,2.29,0.0,0.0,0.0,1.999755859375,-0.0142822265625,0.0101318359375,0.017578125,2.077880859375,5.4972381591796875,0.1270751953125,1540,4076,6,135,15:15:41.095514
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,550517,93694,-1.01,0.81,-0.59,180.0,2.29,0.0,0.0,0.0,1.999755859375,-0.01416015625,0.0101318359375,0.017578125,2.077880859375,5.4972381591796875,0.1270751953125,1540,4076,6,135,15:15:41.095557
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,570525,93713,-1.01,0.81,-0.59,180.0,2.29,0.0,0.0,0.004,1.999755859375,-0.01416015625,0.0101318359375,0.017578125,2.077880859375,5.4972381591796875,0.1270904541015625,1540,4076,6,135,15:15:41.328494
4.091355,-0000001,-0000001,2.891760,-0000001,-0000001,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,590529,93731,-1.01,0.81,-0.59,180.0,2.29,0.0,0.0,0.0,1.999755859375,-0.0142822265625,0.0101318359375,0.017578125,2.077880859375,5.4972381591796875,0.1270904541015625,1540,4076,6,135,15:15:41.328569
